,Partido,Localidad,,,CABLEMODEM,DIAL UP,FIBRA OPTICA,,SATELITAL,WIMAX,,,
BUENOS AIRES,25 de Mayo,25 de Mayo,,873,4.704,- 0,,- 0,975,- 0,664,,
BUENOS AIRES,,Del Valle,6854020,181,,- 0,- 0,10,,,- 0,192,
BUENOS AIRES,25 de Mayo,,6854040,- 0,- 0,,- 0,- 0,- 0,- 0,181,181,
BUENOS AIRES,,,6854060,- 0,,,6,167,,- 0,327,,
BUENOS AIRES,,Lucas Monteverde,6854050,- 0,,- 0,- 0,- 0,,- 0,,,
,25 de Mayo,Ernestina,,,- 0,- 0,,,- 0,- 0,- 0,66,
,25 de Mayo,Pedernales,6854070,,- 0,- 0,- 0,,- 0,,7,575,
BUENOS AIRES,,12 de Octubre,6588030,- 0,,- 0,- 0,- 0,,- 0,,19,
BUENOS AIRES,9 de Julio,,6588100,4.360,3.362,,5.886,83,,- 0,,,
,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),,,- 0,- 0,,,- 0,- 0,,510,
BUENOS AIRES,9 de Julio,Dudignac,,- 0,- 0,1,,- 0,- 0,- 0,,,
BUENOS AIRES,,,6588060,199,,,2,2,,,- 0,203,
BUENOS AIRES,9 de Julio,,6588120,- 0,- 0,,88,- 0,- 0,- 0,42,130,
BUENOS AIRES,9 de Julio,,6588110,76,- 0,,- 0,- 0,,- 0,,,
BUENOS AIRES,,Carhué,6007010,780,,1,1.418,1,,- 0,,2.483,
BUENOS AIRES,Adolfo Alsina,Maza,,,- 0,- 0,,- 0,2,,14,406,
,Adolfo Alsina,Rivera,6007080,,- 0,- 0,1.202,,- 0,,- 0,1.202,
BUENOS AIRES,,Colonia San Miguel Arcángel,6007020,- 0,,- 0,198,- 0,,- 0,,,
BUENOS AIRES,,,6007050,- 0,,,58,- 0,,- 0,- 0,,
BUENOS AIRES,Adolfo Gonzales Chaves,,6014010,549,- 0,,943,- 0,- 0,,313,1.807,
BUENOS AIRES,,De la Garma,6014020,- 0,,- 0,630,- 0,,,59,689,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,,- 0,- 0,- 0,,- 0,- 0,- 0,,45,
,Adolfo Gonzales Chaves,Vásquez,,,- 0,- 0,,,- 0,- 0,,,
,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,,- 0,6,1,,- 0,- 0,8,472,
,Alberti,Mechita,,,- 0,- 0,,,- 0,,- 0,285,
BUENOS AIRES,,Adrogué,6028010,214,,59,11.442,2,,- 0,,,
BUENOS AIRES,,,6028010,142,,,11.335,40,,- 0,,27.973,
,Almirante Brown,Claypole,,,7.568,3,,13,- 0,,2,11.740,
,Almirante Brown,Don Orione,6028010,,5.184,- 0,- 0,,- 0,- 0,1,5.185,
BUENOS AIRES,,Glew,6028010,55,,,11.652,12,,- 0,,19.761,
BUENOS AIRES,Almirante Brown,,6028010,- 0,7.374,,1.410,2,- 0,- 0,1,,
,Almirante Brown,Longchamps,6028010,,9.559,20,14.739,,- 0,,1,24.373,
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,,2,5.311,3,,2,- 0,- 0,1,5.373,
,Almirante Brown,Ministro Rivadavia,,,3.418,4,,,- 0,- 0,1,,
,Almirante Brown,Rafael Calzada,6028010,,10.375,15,9.925,,- 0,- 0,,,
BUENOS AIRES,,,6028010,26,,,3.261,131,,- 0,2,7.656,
BUENOS AIRES,,San Jose,6028010,3,,2,195,- 0,,,1,9.378,
,Arrecifes,Arrecifes,6077010,,1.127,12,4.393,,1,- 0,,8.381,
BUENOS AIRES,Arrecifes,Todd,,- 0,- 0,- 0,,,- 0,- 0,,,
,Arrecifes,Viña,6077030,,60,- 0,- 0,,- 0,- 0,- 0,110,
BUENOS AIRES,Avellaneda,Avellaneda,,1.486,8.698,48,,68,5,,87,16.161,
BUENOS AIRES,,,6035010,1,,,2.723,2,,- 0,- 0,,
BUENOS AIRES,Avellaneda,,6035010,11,664,,2.421,12,- 0,- 0,,,
BUENOS AIRES,,,6035010,3,,,4.334,- 0,,,- 0,10.390,
BUENOS AIRES,,Pineyro,6035010,9,,1,2.324,- 0,,- 0,- 0,8.315,
,Avellaneda,Sarandí,,,10.031,67,,,2,- 0,,23.668,
,Avellaneda,Villa Domínico,6035010,,8.928,2,6.819,,- 0,- 0,191,,
BUENOS AIRES,,Wilde,6035010,2.052,,66,12.956,8,,,- 0,27.669,
BUENOS AIRES,,,6042010,2.053,,,- 0,- 0,- 0,,139,2.194,
BUENOS AIRES,Ayacucho,La Constancia,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
,Ayacucho,Solanet,,,- 0,- 0,- 0,,- 0,- 0,,27,
