Provincia,,Localidad,ADSL,CABLEMODEM,,FIBRAOPTICA,4G,3G,,WIRELESS,
BUENOS AIRES,Bahía Blanca,,--,--,--,,SI,SI,--,--,
,Bahía Blanca,Villa Espora,,,--,--,--,,--,,--
BUENOS AIRES,Balcarce,Balcarce,,SI,SI,SI,,SI,SI,SI,--
,Balcarce,Los Pinos,,,--,--,,,SI,SI,--
,Balcarce,Napaleofú,--,,--,SI,SI,,SI,SI,
BUENOS AIRES,,,--,--,,,SI,--,,,--
BUENOS AIRES,,San Agustín,--,--,,--,--,--,,,--
,Balcarce,Villa Laguna La Brava,--,,--,--,SI,,SI,SI,
BUENOS AIRES,Baradero,Baradero,,,--,SI,,SI,SI,SI,SI
,Baradero,Irineo Portela,--,,--,SI,--,,SI,SI,SI
,Baradero,Santa Coloma,,,--,--,,--,--,SI,
BUENOS AIRES,,Villa Alsina (Est. Alsina),SI,--,,--,SI,SI,,SI,--
BUENOS AIRES,Benito Juárez,,--,--,SI,,SI,SI,,,SI
CHUBUT,Futaleufú,,--,--,--,,--,--,SI,--,
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,--
BUENOS AIRES,General Las Heras,La Choza,,--,--,--,,--,--,,--
,General Las Heras,Lozano,,,--,--,,,--,--,SI
BUENOS AIRES,,Plomer,--,--,,--,--,--,,--,
BUENOS AIRES,General Las Heras,,--,SI,SI,,--,--,SI,--,
BUENOS AIRES,,,--,--,,,--,--,,SI,--
BUENOS AIRES,,General Lavalle,--,SI,,SI,SI,SI,,,SI
,General Lavalle,Pavón,,,--,SI,,,--,SI,--
,General Paz,Barrio Río Salado,--,,--,--,--,,--,--,
,General Paz,Loma Verde,--,,--,--,,,SI,,--
BUENOS AIRES,General Paz,Ranchos,,--,SI,SI,,SI,SI,SI,--
BUENOS AIRES,,Villanueva (Ap. Río Salado),--,--,,--,--,--,,SI,
BUENOS AIRES,General Pinto,,SI,--,--,,SI,SI,SI,SI,--
MISIONES,San Ignacio,General Urquiza,,--,--,--,,--,--,,--
,Magdalena,General Mansilla (Est. Bartolomé Bavio),,,--,SI,,,SI,,--
BUENOS AIRES,,Los Naranjos,--,--,,SI,--,--,,--,
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
,Magdalena,Roberto J. Payró,--,,--,--,--,,--,,--
,Magdalena,Vieytes,,,--,SI,,,SI,,--
BUENOS AIRES,Maipú,Las Armas,,--,--,--,,SI,SI,SI,
,Maipú,Maipú,SI,,SI,--,SI,,SI,SI,--
BUENOS AIRES,Maipú,,--,--,--,,SI,--,SI,,SI
BUENOS AIRES,,Area De Promocion El Triángulo,SI,--,,,SI,SI,,,--
,Malvinas Argentinas,Grand Bourg,,,--,SI,,,SI,--,--
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,,SI,--,SI,,SI,SI,SI,
,San Fernando,San Fernando,SI,,SI,SI,SI,,SI,,--
,San Fernando,Victoria,,,--,SI,,,SI,,SI
BUENOS AIRES,,Virreyes,SI,SI,,SI,SI,SI,,--,
BUENOS AIRES,,,SI,SI,,,SI,SI,,--,SI
BUENOS AIRES,San Isidro,,SI,SI,--,,SI,SI,SI,SI,--
BUENOS AIRES,,,SI,SI,,SI,SI,SI,,,--
CABA,COMUNA 04,NUEVA POMPEYA,,SI,SI,SI,,SI,SI,SI,
,San Fernando,Fontana,--,,--,SI,SI,,--,SI,
CHACO,,,--,--,,,SI,SI,,,SI
CHACO,San Fernando,,SI,SI,SI,,SI,SI,SI,SI,SI
,San Lorenzo,Samuhú,,,--,--,,,--,--,
,Tandil,Desvío Aguirre,--,,--,SI,SI,,--,SI,--
BUENOS AIRES,,,--,--,,,SI,SI,,,--
BUENOS AIRES,,María Ignacia (Est. Vela),SI,--,,--,SI,--,,SI,--
BUENOS AIRES,,Tandil,SI,SI,,SI,SI,SI,,SI,SI
BUENOS AIRES,Tapalqué,,--,--,--,,--,--,--,--,
,Tapalqué,Tapalqué,,,--,--,SI,,SI,--,SI
BUENOS AIRES,Tapalqué,Velloso,,--,--,--,,--,--,,--
BUENOS AIRES,Tigre,,SI,SI,--,,SI,SI,SI,SI,
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
CABA,,FLORESTA,SI,SI,,SI,SI,SI,,,SI
CHUBUT,Futaleufú,,--,--,--,,--,--,,--,SI
,Futaleufú,Trevelín,SI,,SI,--,SI,,SI,SI,
,Futaleufú,Villa Futalaufquen,,--,--,--,,--,SI,--,SI
CHUBUT,Gaiman,28 de Julio,,--,--,SI,,SI,--,--,SI
,Gaiman,Dique Florentino Ameghino,,,--,--,,,SI,,--
CHUBUT,Gaiman,,--,--,SI,,SI,--,SI,--,SI
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
,San Isidro,San Isidro,SI,,SI,SI,,,SI,,SI
BUENOS AIRES,San Isidro,Villa Adelina,,SI,--,SI,,SI,SI,,--
BUENOS AIRES,,,SI,SI,,,SI,SI,SI,SI,
BUENOS AIRES,,Campo De Mayo,--,--,,--,SI,SI,,--,
BUENOS AIRES,San Miguel,Muñiz,,SI,SI,SI,,SI,SI,,--
,Cruz del Eje,Canteras Quilpo,--,,--,--,--,,SI,SI,--
,Cruz del Eje,Cruz de Caña,,,--,--,,,--,SI,--
BUENOS AIRES,Berisso,Berisso,,SI,SI,SI,,SI,SI,SI,
BUENOS AIRES,,,--,--,,,--,--,,,--
BUENOS AIRES,Berisso,,--,--,--,,SI,SI,--,,--
BUENOS AIRES,Berisso,Villa Dolores,,--,--,--,,SI,--,--,
,Berisso,Villa Independencia,--,,--,--,--,,--,--,--
BUENOS AIRES,Berisso,Villa Nueva,,--,--,SI,,SI,--,SI,--
,Berisso,Villa Porteña,,,--,--,,,--,,--
BUENOS AIRES,Berisso,,--,--,--,,--,--,--,SI,
BUENOS AIRES,,,--,--,,,SI,SI,,--,
BUENOS AIRES,,Villa Zula,--,--,,--,--,--,,,--
BUENOS AIRES,Bolívar,,SI,--,,,--,--,SI,,--
,Bolívar,Juan F. Ibarra,--,,--,--,--,,--,--,
BUENOS AIRES,Bolívar,Mariano Unzué,,--,--,--,,,--,--,
BUENOS AIRES,,,--,--,,,--,--,,--,SI
BUENOS AIRES,,Pirovano,--,--,,--,--,SI,,,--
,Bolívar,San Carlos de Bolívar (Est. Bolívar),,,SI,--,,,SI,SI,--
BUENOS AIRES,Bolívar,Urdampilleta,,--,SI,--,,SI,SI,SI,
BUENOS AIRES,,,--,--,,,--,--,,--,--
BUENOS AIRES,Bragado,,--,--,--,,--,--,--,,--
CABA,COMUNA 12,,SI,SI,SI,,SI,SI,,SI,
CORDOBA,,Alpa Corral,--,--,,--,SI,SI,,--,--
CORDOBA,Río Cuarto,Berrotarán,,,--,SI,,SI,SI,,--
,Río Cuarto,Bulnes,SI,,--,--,SI,,--,--,SI
CORDOBA,,Chaján,--,--,,SI,SI,SI,,--,SI
CORDOBA,,,SI,--,,,SI,SI,,SI,
,Río Cuarto,Coronel Baigorria,,,--,SI,,,--,,--
CHACO,San Lorenzo,Villa Berthet,,--,--,SI,,SI,--,SI,SI
CHACO,,,--,--,,,SI,SI,,SI,
CHACO,Sargento Cabral,,--,--,--,,SI,SI,SI,--,SI
CHACO,Sargento Cabral,,--,--,--,,SI,SI,,SI,--
CHACO,,Ingeniero Barbet,--,--,,--,--,--,,,--
CHACO,Sargento Cabral,Las Garcitas,,,--,--,,SI,SI,SI,SI
,Tapenagá,Charadai,--,,--,SI,SI,,SI,--,
CHACO,,Cote Lai,--,--,,--,SI,--,,,--
CHACO,,,--,--,,,--,--,,--,--
CHACO,Tapenagá,Horquilla,,--,--,--,,--,--,--,
,Tapenagá,La Sabana,,,--,--,,,--,--,--
CHUBUT,Biedma,,--,--,--,,--,--,--,,SI
CHUBUT,,,SI,SI,,,SI,SI,,,SI
CHUBUT,,Puerto Pirámide,--,--,,--,SI,SI,,SI,
CHUBUT,Biedma,,--,--,,,SI,SI,--,SI,
,Cruz del Eje,Cruz del Eje,SI,,--,SI,SI,,SI,,--
CORDOBA,Cruz del Eje,El Brete,,--,--,SI,,,--,,--
CORDOBA,,,--,--,,,--,--,,--,
CORDOBA,,Guanaco Muerto,--,--,,--,--,--,,SI,--
CORDOBA,,La Banda,--,--,,,--,--,,,SI
CORDOBA,Cruz del Eje,,--,--,--,,--,--,--,,--
,Cruz del Eje,La Higuera,SI,,--,--,SI,,SI,SI,
CORDOBA,Cruz del Eje,Las Cañadas,,--,--,--,,--,--,--,
,Cruz del Eje,Las Playas,,,--,SI,,,--,,--
,Cruz del Eje,Los Chañaritos,--,,--,SI,--,,--,,--
CORDOBA,,,--,--,,,--,--,,SI,--
CORDOBA,,Paso Viejo,SI,--,,--,SI,SI,,SI,
,Cruz del Eje,San Marcos Sierra,--,,--,SI,SI,,SI,,--
CORDOBA,Cruz del Eje,Serrezuela,,--,--,SI,,,SI,SI,--
CORDOBA,Cruz del Eje,,--,--,--,,--,--,--,SI,
BUENOS AIRES,,Chapadmalal,SI,--,,SI,SI,SI,,SI,SI
BUENOS AIRES,General Pueyrredón,El Marquesado,,--,--,--,,--,SI,,--
,General Pueyrredón,Estacion Camet,,,--,--,,,--,--,--
,General Pueyrredón,Estación Chapadmalal,SI,,--,SI,SI,,--,SI,SI
,General Pueyrredón,Mar del Plata,,,SI,SI,,,SI,SI,
BUENOS AIRES,,Punta Mogotes,--,--,,--,SI,SI,,--,--
BUENOS AIRES,,,SI,--,,,SI,SI,,,--
,General Rodríguez,Barrio Ruta 24 Kilómetro 10,,,--,SI,,SI,--,--,
,General Rodríguez,Country Club Bosque Real - Barrio Morabo,--,,--,--,SI,,--,--,
CABA,COMUNA 05,ALMAGRO,,SI,SI,SI,,SI,SI,SI,SI
,Escalante,Comodoro Rivadavia,,,SI,SI,,,SI,,SI
CHUBUT,Escalante,,--,--,--,,SI,SI,--,SI,--
CHUBUT,,Km. 11 - Cuarteles,--,--,,--,--,--,,--,
CHUBUT,,KM. 3 - General Mosconi,--,--,,--,SI,SI,,,--
